system,dataset,repeat,MAPE,MAE,RMSE
batlik,corona.csv,0,0.0673492663848859,0.09798819444444441,0.12874964832745928
batlik,corona.csv,1,0.06456001145263127,0.09237256944444441,0.12279760193776865
batlik,corona.csv,2,0.06497805407611981,0.09521562500000005,0.12623547963803386
batlik,corona.csv,3,0.06593394538731513,0.094164236111111,0.1225832084182458
batlik,corona.csv,4,0.06430052598897783,0.09329513888888889,0.12740875166172844
batlik,cranium.csv,0,0.04096024838532339,0.08142326388888876,0.10480388331704739
batlik,cranium.csv,1,0.04062509438788199,0.08285277777777769,0.10841691263103022
batlik,cranium.csv,2,0.040796730578394245,0.08248263888888865,0.10820616638826258
batlik,cranium.csv,3,0.0395835909615353,0.07931909722222227,0.10370638072354946
batlik,cranium.csv,4,0.039614194214212285,0.0800284722222223,0.10440610680840906
batlik,cubus.csv,0,0.03741410393719221,0.23166076388888981,0.2966498451457559
batlik,cubus.csv,1,0.037462654218080454,0.2319545138888896,0.29288008555360895
batlik,cubus.csv,2,0.03688486843002881,0.2283819444444449,0.2943759015084104
batlik,cubus.csv,3,0.03711046985817525,0.23077673611111177,0.2989164028667186
batlik,cubus.csv,4,0.03694152632150978,0.23180659722222263,0.2953153186520402
batlik,flame.csv,0,0.04071779008518764,0.07288854166666657,0.09354981404756145
batlik,flame.csv,1,0.03871522194065781,0.06990416666666659,0.08809465789705961
batlik,flame.csv,2,0.040401970434956115,0.07333194444444445,0.0943251652824184
batlik,flame.csv,3,0.038941876250609186,0.07076875000000012,0.0919727828097954
batlik,flame.csv,4,0.039143389133944786,0.07098715277777774,0.0911181684682038
batlik,france.csv,0,0.04634445873956266,0.1626736111111111,0.20435434605116676
batlik,france.csv,1,0.044240269568763445,0.15809722222222222,0.1998423538414441
batlik,france.csv,2,0.04511757557934623,0.15856979166666646,0.20343306655862134
batlik,france.csv,3,0.04538996028690329,0.1594590277777782,0.20465845430049268
batlik,france.csv,4,0.04384408021408481,0.15415659722222205,0.20185286669172314
batlik,frisco.csv,0,0.06389028875796415,0.29426979166666645,0.3753751820401378
batlik,frisco.csv,1,0.06518920562224752,0.30278020833333247,0.38038122443514094
batlik,frisco.csv,2,0.06420348203619966,0.298292013888889,0.37293788887472085
batlik,frisco.csv,3,0.0643750721596653,0.2980079861111107,0.37646383836594693
batlik,frisco.csv,4,0.06364077077560612,0.2934357638888885,0.37531301889593105
batlik,jelly.csv,0,0.04663208081888865,0.08606493055555553,0.1372984874380547
batlik,jelly.csv,1,0.0445614533029821,0.08239270833333337,0.12684592934606387
batlik,jelly.csv,2,0.04435040647726211,0.08296319444444464,0.13020244866702366
batlik,jelly.csv,3,0.04553318069344846,0.08608576388888907,0.1525053521374109
batlik,jelly.csv,4,0.047192932354156975,0.09205798611111107,0.17182716546479687
batlik,karte.csv,0,0.03760833952328878,0.48035173611111076,0.6454344445044577
batlik,karte.csv,1,0.03804114762263003,0.47401631944444467,0.6433333098553535
batlik,karte.csv,2,0.039537030484782694,0.4992770833333336,0.6683981828471215
batlik,karte.csv,3,0.04000730421195722,0.5057569444444453,0.6674991037239091
batlik,karte.csv,4,0.039393972288820064,0.498060416666667,0.6740678115615184
batlik,mandelbrot.csv,0,0.041548162513017975,0.053812152777777796,0.07130506400514468
batlik,mandelbrot.csv,1,0.041853197677213044,0.05426354166666661,0.07064200286971235
batlik,mandelbrot.csv,2,0.04453440668601451,0.057924652777777794,0.07649207066748819
batlik,mandelbrot.csv,3,0.04168659685355505,0.053919444444444485,0.07080810433057003
batlik,mandelbrot.csv,4,0.04205674569187266,0.054474305555555436,0.07144185670101867
batlik,strawberry.csv,0,0.0455313039861423,0.0731694444444443,0.09349153630736362
batlik,strawberry.csv,1,0.046201722486024895,0.07449999999999991,0.09403325357434873
batlik,strawberry.csv,2,0.046876391252377164,0.07492847222222226,0.09639046820672219
batlik,strawberry.csv,3,0.04697134632655487,0.07512604166666663,0.09590426179558202
batlik,strawberry.csv,4,0.048544203441355196,0.0779493055555555,0.0972070877902772
batlik,village.csv,0,0.04356056628831268,0.19094479166666622,0.5134670758540514
batlik,village.csv,1,0.04584600425599447,0.21233333333333315,0.5375848001581789
batlik,village.csv,2,0.044428998012627195,0.1866770833333332,0.4738402095291882
batlik,village.csv,3,0.041666838582881935,0.18476701388888805,0.508986831785021
batlik,village.csv,4,0.043370621848701774,0.2088392361111112,0.5386954818380948
dconvert,jpeg-large.csv,0,0.056322919781065815,0.18553485797943206,0.2613454827580756
dconvert,jpeg-large.csv,1,0.05559751750413079,0.18324024030515376,0.26180013368878546
dconvert,jpeg-large.csv,2,0.055452405416018063,0.18212955850064688,0.2591235838420474
dconvert,jpeg-large.csv,3,0.05581373853882947,0.18609250615018214,0.2617485777454304
dconvert,jpeg-large.csv,4,0.05538703613090464,0.18415364170464582,0.2607149915646954
dconvert,jpeg-medium.csv,0,0.04547276153102975,0.07945014265981692,0.1073170552666742
dconvert,jpeg-medium.csv,1,0.045474790148531986,0.07976054643797816,0.10884428798794714
dconvert,jpeg-medium.csv,2,0.04632812193833543,0.08046504521822499,0.10728511116982128
dconvert,jpeg-medium.csv,3,0.0446206320725759,0.07858973045280958,0.10630621222869287
dconvert,jpeg-medium.csv,4,0.04532795102690138,0.07912869403439345,0.10633200975421227
dconvert,jpeg-small.csv,0,0.06816813771342756,0.02928185521248563,0.0381885073235055
dconvert,jpeg-small.csv,1,0.06774173334231857,0.029043351453680536,0.038178148664014394
dconvert,jpeg-small.csv,2,0.07070759890645242,0.03038403175930296,0.03927472223104799
dconvert,jpeg-small.csv,3,0.06814754778710244,0.029346914875463623,0.03827892647500186
dconvert,jpeg-small.csv,4,0.06784854544352696,0.029151701484894314,0.03790323851430578
dconvert,png-large.csv,0,0.0513243500816616,0.12389158064186231,0.16367061754215256
dconvert,png-large.csv,1,0.05055480097724115,0.12224173599496208,0.1614203873077255
dconvert,png-large.csv,2,0.050774586068531025,0.12173909551113211,0.15971684572621897
dconvert,png-large.csv,3,0.049825914484500564,0.1221427805078116,0.16162828003268814
dconvert,png-large.csv,4,0.051101855638096785,0.12480206394416689,0.16623360375567162
dconvert,png-medium.csv,0,0.055432269280198086,0.03529073843469866,0.04451997428341467
dconvert,png-medium.csv,1,0.05393550628045881,0.0342505138625678,0.043786706066530214
dconvert,png-medium.csv,2,0.05679006490641279,0.03580645232114173,0.04472813979237512
dconvert,png-medium.csv,3,0.054889568213387134,0.03492839872584323,0.044046234565523194
dconvert,png-medium.csv,4,0.05475331868758272,0.03476404055385656,0.0438517257334348
dconvert,png-small.csv,0,0.06861243431794713,0.030686200679251294,0.03962247057014674
dconvert,png-small.csv,1,0.07097195823880591,0.03173565195829754,0.04200242458951347
dconvert,png-small.csv,2,0.07246943885303128,0.03242571322270471,0.04302040239360776
dconvert,png-small.csv,3,0.06929741278016371,0.03115507976875127,0.04132475454424214
dconvert,png-small.csv,4,0.07066641592930292,0.0317470494399283,0.04192625999774319
dconvert,psd-large.csv,0,0.03073105675327769,1.1587049453958984,1.9729306262166195
dconvert,psd-large.csv,1,0.030973339240886636,1.166281840708982,1.9493212087680678
dconvert,psd-large.csv,2,0.031541253589580445,1.179741892827677,2.0152017540588276
dconvert,psd-large.csv,3,0.03152983798654646,1.18994616507913,2.0020173634793936
dconvert,psd-large.csv,4,0.031362448992900756,1.176728955391055,1.9897848432920133
dconvert,psd-medium.csv,0,0.05115772783013663,0.06572844026399802,0.0834768197162506
dconvert,psd-medium.csv,1,0.05084793453567267,0.0655922668075516,0.08454769253324984
dconvert,psd-medium.csv,2,0.05106384878326708,0.06526517416751847,0.08264254149309402
dconvert,psd-medium.csv,3,0.05004817528281284,0.06465577304293388,0.08285525612731078
dconvert,psd-medium.csv,4,0.050523799502603335,0.06534454015099406,0.08390255941711908
dconvert,psd-small.csv,0,0.07441612417106738,0.04150598129629141,0.05285169247006103
dconvert,psd-small.csv,1,0.07582373421426647,0.04237681954246877,0.0543050851862827
dconvert,psd-small.csv,2,0.07539045970957255,0.0420110862124182,0.05318177502863094
dconvert,psd-small.csv,3,0.07740269600104135,0.04338185592551135,0.054470376545199005
dconvert,psd-small.csv,4,0.07573396887865858,0.0422953453745622,0.053314672325129625
dconvert,svg-large.csv,0,0.046678322425994824,0.07030334990261737,0.090018591243175
dconvert,svg-large.csv,1,0.04731230943942498,0.07125757873568665,0.09135962413075059
dconvert,svg-large.csv,2,0.046757422368824575,0.07028996025230305,0.08964705166823939
dconvert,svg-large.csv,3,0.047102184789138954,0.07089941829665429,0.09028682756965001
dconvert,svg-large.csv,4,0.04715391947888727,0.0708783444992663,0.09056564479705963
dconvert,svg-medium.csv,0,0.038375805452162494,0.059111892071928906,0.07489915954222212
dconvert,svg-medium.csv,1,0.038315613252805795,0.05893401717149717,0.07386486630361629
dconvert,svg-medium.csv,2,0.03899512477795281,0.059914877519681733,0.07484582838774566
dconvert,svg-medium.csv,3,0.037667815920399826,0.05800841567415098,0.073343577242382
dconvert,svg-medium.csv,4,0.039478424731586484,0.060710627003256724,0.07623289117391305
dconvert,svg-small.csv,0,0.05049380940320183,0.0283072142111184,0.03566180500166708
dconvert,svg-small.csv,1,0.051813103111459285,0.02898515446886267,0.03667922753324551
dconvert,svg-small.csv,2,0.05142252501994021,0.028595924114275202,0.03609716263319456
dconvert,svg-small.csv,3,0.051315707548281464,0.02878348530445555,0.03620010554138541
dconvert,svg-small.csv,4,0.049998484944751787,0.027934431054776505,0.03580331371567984
h2,smallbank-1.csv,0,0.07368563713477091,1411.4241934282227,1862.94437512372
h2,smallbank-1.csv,1,0.07604336631707381,1454.3998872639202,1880.1322388655378
h2,smallbank-1.csv,2,0.07581939030304635,1446.5844822153188,1891.5053356619894
h2,smallbank-1.csv,3,0.07624924140804436,1447.1607684772132,1896.9142736786928
h2,smallbank-1.csv,4,0.0781637685941833,1478.125353807825,1926.615923206857
h2,smallbank-10.csv,0,0.04201635791874086,567.9735854030608,791.3318928365796
h2,smallbank-10.csv,1,0.04243129024434172,574.6896526374201,755.4833111648267
h2,smallbank-10.csv,2,0.04459539257408125,595.3620053037669,828.489673330743
h2,smallbank-10.csv,3,0.042639444188411924,569.3276788678752,799.6033719722186
h2,smallbank-10.csv,4,0.04278679848701956,567.9047947207927,796.5462604928342
h2,tpcc-2.csv,0,0.0551991486785677,40.46177153991561,50.77370940966728
h2,tpcc-2.csv,1,0.057232631669201665,41.791570111158926,53.58896819568284
h2,tpcc-2.csv,2,0.05419485141392451,39.70729543806507,50.18884215936052
h2,tpcc-2.csv,3,0.05642576298720569,41.26116711817378,52.19510758206792
h2,tpcc-2.csv,4,0.05633456140045492,40.910090496327626,51.83717401343628
h2,tpcc-8.csv,0,0.41357842358714364,222.10007937992773,347.48480018676963
h2,tpcc-8.csv,1,0.40609455634940694,214.21458835552875,344.550922558101
h2,tpcc-8.csv,2,0.38725295317072217,218.00292603679713,349.57970843822875
h2,tpcc-8.csv,3,0.4001873011356726,214.81618201398115,352.74979019118405
h2,tpcc-8.csv,4,0.3732935121002982,206.9086853034341,333.4244969245885
h2,voter-16.csv,0,0.034693790239433656,1123.4616132688072,1537.0644746958396
h2,voter-16.csv,1,0.037130436158545166,1193.797298804574,1587.333735218257
h2,voter-16.csv,2,0.03539719693897433,1153.4254603955533,1569.8051305613988
h2,voter-16.csv,3,0.03473091541776511,1099.3148715527495,1479.8253642479174
h2,voter-16.csv,4,0.03476000909429379,1114.0128877986594,1539.9845661528548
h2,voter-2.csv,0,0.034787227218068976,1124.1356942000173,1626.421356751338
h2,voter-2.csv,1,0.03354238863981549,1069.0873773638366,1547.0289882884679
h2,voter-2.csv,2,0.03331966758501125,1083.9653764409768,1493.5732638639151
h2,voter-2.csv,3,0.034231975428853444,1093.6353228362568,1598.3220705721728
h2,voter-2.csv,4,0.03550548426469184,1133.0538197248225,1581.6296447408845
h2,ycsb-2400.csv,0,0.07719803126421565,1086.2361016157115,1390.2702803975305
h2,ycsb-2400.csv,1,0.08082055111417787,1138.406896223466,1457.853785640433
h2,ycsb-2400.csv,2,0.07690434301137986,1080.6466731300602,1367.1495513894217
h2,ycsb-2400.csv,3,0.08281790469185102,1157.334616649325,1480.3547170422787
h2,ycsb-2400.csv,4,0.08049754422903245,1114.2230861320322,1397.9577600502096
h2,ycsb-600.csv,0,0.06556690223201286,1340.8452834647753,1795.0436131780489
h2,ycsb-600.csv,1,0.0724915121702653,1492.9059654572254,1957.8655400587586
h2,ycsb-600.csv,2,0.06591880006412117,1370.2578472143086,1834.2496165874854
h2,ycsb-600.csv,3,0.07323052600931251,1496.0627983457123,1953.955366087767
h2,ycsb-600.csv,4,0.06919672713244839,1411.012508226855,1852.7245848434306
jump3r,beethoven.wav.csv,0,0.3224006112798084,3.278573148611722,4.759127438895007
jump3r,beethoven.wav.csv,1,0.3246659002520026,3.2105720624380827,4.788310632068478
jump3r,beethoven.wav.csv,2,0.31163023510547927,3.232100029649271,4.7289798438688795
jump3r,beethoven.wav.csv,3,0.323160716741304,3.2676145150889893,4.805769978634132
jump3r,beethoven.wav.csv,4,0.3233072570754938,3.3545125909643647,5.008923828022902
jump3r,dual-channel.wav.csv,0,0.3047282761868503,0.9027991979769807,1.3050843714879474
jump3r,dual-channel.wav.csv,1,0.3025426320377292,0.8752935352595986,1.297452924167365
jump3r,dual-channel.wav.csv,2,0.3018516456985729,0.9085473094475235,1.3066104469664082
jump3r,dual-channel.wav.csv,3,0.314373028920763,0.9090928986802824,1.3116687444015942
jump3r,dual-channel.wav.csv,4,0.31582935732642275,0.9334806616202138,1.3692315040323046
jump3r,helix.wav.csv,0,0.31170522474126056,1.6408512299625375,2.4678023949030448
jump3r,helix.wav.csv,1,0.3138927175102286,1.608987125292891,2.4976624922348467
jump3r,helix.wav.csv,2,0.3132604433362793,1.658560867358243,2.4554886778957647
jump3r,helix.wav.csv,3,0.3244137602970132,1.658960066278475,2.481990083241959
jump3r,helix.wav.csv,4,0.3270252192767534,1.7260216115615366,2.602399793876211
jump3r,single-channel.wav.csv,0,0.2794060267554648,0.511172933416029,0.7145706295104749
jump3r,single-channel.wav.csv,1,0.2776230220109284,0.5076317484163083,0.7346014015077065
jump3r,single-channel.wav.csv,2,0.27547068650013506,0.5154972918788822,0.7216342702402676
jump3r,single-channel.wav.csv,3,0.2840093656000566,0.5132994183645715,0.7239242017729587
jump3r,single-channel.wav.csv,4,0.2837420979728689,0.5328457902113113,0.76106209557739
jump3r,speech.wav.csv,0,0.2765835716841316,1.2592100205331747,1.7755401635988748
jump3r,speech.wav.csv,1,0.27292788554728703,1.2062894307208871,1.7120966876969868
jump3r,speech.wav.csv,2,0.27195593950639096,1.2547355020722653,1.7607250525767
jump3r,speech.wav.csv,3,0.271899764273191,1.2416854533909552,1.7863936980596644
jump3r,speech.wav.csv,4,0.27184595004874784,1.27892441158653,1.8133707370935201
jump3r,sweep.wav.csv,0,0.1788173563677459,0.10911338366320063,0.15423696550437194
jump3r,sweep.wav.csv,1,0.17773206308827877,0.10827131519492067,0.1550866273741752
jump3r,sweep.wav.csv,2,0.18027711874973099,0.11041141672909385,0.15602912219718612
jump3r,sweep.wav.csv,3,0.186753816907211,0.11327368983694446,0.16109647636139035
jump3r,sweep.wav.csv,4,0.18180298566571307,0.11222829661587533,0.15885816277696044
kanzi,ambivert.csv,0,0.11807514723577911,1.76752042139384,3.307426987772962
kanzi,ambivert.csv,1,0.12549052801488536,1.9435646677471603,3.975048753439431
kanzi,ambivert.csv,2,0.12626079497956075,2.1935267423014593,4.7805985381622875
kanzi,ambivert.csv,3,0.12849858676355938,2.030349918962722,4.438284081026107
kanzi,ambivert.csv,4,0.11503321226288077,2.0153000000000034,5.249190203777104
kanzi,artificl.csv,0,0.0836615659133472,0.04373257698541325,0.0996095095471332
kanzi,artificl.csv,1,0.0847488817701666,0.04163403565640191,0.08866833398788995
kanzi,artificl.csv,2,0.07968646656952298,0.04043533225283631,0.08151667815150324
kanzi,artificl.csv,3,0.0843405810590855,0.04190615883306321,0.08846866965505272
kanzi,artificl.csv,4,0.07982699793624594,0.038207779578606126,0.08076964503547857
kanzi,deepfield.csv,0,0.09828819285664775,1.4342698541329026,3.5346608073176866
kanzi,deepfield.csv,1,0.10353853857546991,1.3786497568881708,3.6498551619716637
kanzi,deepfield.csv,2,0.1013536845983881,1.7000617504051891,4.66539537444607
kanzi,deepfield.csv,3,0.09673920298599802,1.4831714748784413,4.187334992078294
kanzi,deepfield.csv,4,0.0971234780261355,1.6635886547811984,5.181198766697955
kanzi,enwik8.csv,0,0.11859740351493858,2.9760053484602906,6.594880272567325
kanzi,enwik8.csv,1,0.1298188427368133,2.869802431118315,6.5297633069430745
kanzi,enwik8.csv,2,0.12570856182916235,3.2022967585089113,8.649685323473076
kanzi,enwik8.csv,3,0.13005345620175623,3.1119442463533247,7.833245907079521
kanzi,enwik8.csv,4,0.11637261453991131,3.2561517017828217,9.8778431302914
kanzi,fannie_mae_500k.csv,0,0.13095179760445969,2.0221619124797416,5.757539566904721
kanzi,fannie_mae_500k.csv,1,0.12914405018000288,1.8529090761750415,5.247001364555139
kanzi,fannie_mae_500k.csv,2,0.126939229474381,2.167597082658017,6.424615796273286
kanzi,fannie_mae_500k.csv,3,0.15001193251176392,2.2600233387358144,6.422524514073375
kanzi,fannie_mae_500k.csv,4,0.13109714682081725,2.2540113452188044,7.750187612255219
kanzi,large.csv,0,0.10071828732546215,0.3561103727714748,0.7556873950648949
kanzi,large.csv,1,0.10770427329348548,0.3438072933549438,0.6814059448087807
kanzi,large.csv,2,0.10231980447485307,0.3767432739059963,0.9064827191924213
kanzi,large.csv,3,0.10152724170214793,0.36171118314424805,0.8284088559849152
kanzi,large.csv,4,0.10167076708218997,0.3787006482982179,1.0102751696822503
kanzi,misc.csv,0,0.09302808676521956,0.07230648298217175,0.1258086706898436
kanzi,misc.csv,1,0.09162667253047108,0.07205753646677471,0.1277588643617913
kanzi,misc.csv,2,0.09089832914647757,0.07348314424635334,0.1269374780698585
kanzi,misc.csv,3,0.08862325176961025,0.07293435980551051,0.12366838218407286
kanzi,misc.csv,4,0.09293444806216643,0.07565931928687199,0.13098576239949764
kanzi,silesia.csv,0,0.11355540467080708,5.589526904376006,13.19630040697582
kanzi,silesia.csv,1,0.12910618448170286,5.712209238249608,12.947354036527958
kanzi,silesia.csv,2,0.11919892810770472,6.582023824959483,16.73972852161801
kanzi,silesia.csv,3,0.12548306003253762,6.1099270664505685,15.215185975318658
kanzi,silesia.csv,4,0.11033993243035502,6.192837763371155,18.38534239892575
kanzi,vmlinux.csv,0,0.12590055356891747,11.392226256077796,39.44037575034943
kanzi,vmlinux.csv,1,0.12776451839026914,10.823105024311182,40.40163772235671
kanzi,vmlinux.csv,2,0.125363858472429,13.83800777957859,45.92207044034247
kanzi,vmlinux.csv,3,0.12268199466667164,12.945187844408416,43.71494782132498
kanzi,vmlinux.csv,4,0.12597008933171128,12.934519124797422,44.30214686461711
lrzip,ambivert.wav.tar.csv,0,2.7431934405627905,32.305407017543864,54.31232446478812
lrzip,ambivert.wav.tar.csv,1,4.400909793365592,35.79661754385965,56.18107358362888
lrzip,ambivert.wav.tar.csv,2,4.579921835100687,37.26146315789474,55.56499056364128
lrzip,ambivert.wav.tar.csv,3,5.26559754522686,37.36671578947368,51.66369322239987
lrzip,ambivert.wav.tar.csv,4,5.204021915221089,28.049785964912278,41.39659306441839
lrzip,artificl.tar.csv,0,15.850373616231714,2.305845614035088,2.6903274979667047
lrzip,artificl.tar.csv,1,29.284371497346783,2.6730280701754388,3.01116029801651
lrzip,artificl.tar.csv,2,36.806787628846706,2.419280701754386,2.839975518426727
lrzip,artificl.tar.csv,3,25.863192606886056,2.2394105263157895,2.581568378181773
lrzip,artificl.tar.csv,4,26.47040015922426,2.3291333333333335,2.6168643575785335
lrzip,deepfield.tar.csv,0,2.540030632595623,31.047354385964912,52.90017711001427
lrzip,deepfield.tar.csv,1,4.2041841693520885,34.24035789473684,53.40723554416737
